Node,Eigenvector Centrality
10.1136/bmj.b2680,2.609560180620363e-18
7855331,7.642112339300733e-14
10.1055/s-2003-41136,6.08871791554745e-15
10.1055/s-2002-33047,2.609560180620363e-18
10.1111/j.1365-2990.2006.00821.x,7.828680541861087e-18
10.1111/j.1365-2990.2004.00577.x,2.348604162558326e-17
10.1212/wnl.54.5.1033,3.1693641050918234e-12
10.1002/(sici)1097-4598(199606)19:6<787::aid-mus18>3.0.co,2.4408128564128927e-11
2-i,8.984212605536211e-11
10.1002/(sici)1097-4598(199612)19:12<1605::aid-mus11>3.0.co,1.9866450102529018e-11
2-q,2.6651961264740216e-11
10.1002/(sici)1097-4598(199706)20:6<651::aid-mus1>3.0.co,3.479286793028377e-11
2-7,6.818046912937512e-11
10342053,2.609560180620363e-18
10.1055/s-2008-1041132,4.138415992274361e-09
10.1016/s0889-857x(02)00030-3,2.7593642853419757e-14
10.1016/s0889-857x(02)00023-6,2.609560180620363e-18
8625545,1.6870957001179876e-12
10.1006/mgme.2001.3256,1.9555092271620768e-13
10.1093/brain/119.6.1887,9.445183747778557e-11
10.1212/wnl.48.4.863,1.0478314955307184e-10
10.1002/(sici)1097-4598(199710)20:10<1242::aid-mus6>3.0.co,5.055272064137634e-12
2-c,1.5431258581687816e-11
10.1002/(sici)1097-4598(199812)21:12<1724::aid-mus15>3.0.co,4.223481050210034e-14
2-2,6.817041080991416e-11
10.1002/(sici)1097-4598(200006)23:6<970::aid-mus20>3.0.co,9.725267435180157e-13
10.1212/01.wnl.0000192103.24796.42,3.0587115387671367e-15
10.1007/s10067-003-0715-4,7.828680541861087e-18
10.1212/01.wnl.0000192311.78890.3e,5.219120361240726e-18
10.1212/01.wnl.0000192110.22621.09,1.0438240722481452e-17
10.1212/01.wnl.0000192127.63013.8d,3.0587115387671367e-15
10.1212/01.wnl.0000192128.13875.1e,3.097854941476442e-15
10.1212/01.wnl.0000192108.02654.ac,5.219120361240726e-18
10.1212/01.wnl.0000192109.81449.7a,2.609560180620363e-18
10.1212/01.wnl.0000192307.15103.83,5.219120361240726e-18
10.1212/01.wnl.0000192260.33106.bb,3.0926358211152013e-15
9160898,3.3213867964775825e-13
10.1212/01.wnl.0000192107.17175.39,1.0438240722481452e-17
10.1212/01.wnl.0000192129.65677.87,3.136998344185748e-15
10.1212/01.wnl.0000192259.34541.e4,2.609560180620363e-18
10.1212/01.wnl.0000192306.98198.ec,1.0438240722481452e-17
8574634,2.609560180620363e-18
9010966,2.609560180620363e-18
10.1016/j.jchemneu.2004.03.009,2.609560180620363e-18
10.2353/ajpath.2006.051232,1.5657361083722175e-17
10.1007/s11940-999-0008-6,4.1536875956616447e-13
10.1212/wnl.56.3.323,7.636664498664839e-13
10.2169/internalmedicine.42.1035,2.0876481444962904e-17
10.1016/s0304-3940(98)00657-0,1.9934364520243813e-11
10.1111/j.1365-2249.1994.tb06604.x,9.620863133745427e-10
10.1007/s11940-000-0019-9,2.609560180620363e-18
10.1034/j.1600-0404.2001.103002131.x,2.65864140251163e-13
10.1007/bf01540896,1.3519087471721849e-12
10.1093/brain/123.2.374,3.8358032547416725e-13
